Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
37065084.0,18677663.0,18387421.0,10.1,7.7,10.0,19.5699996948242,1.49000000953674,0.939999997615814,8.46000003814697,5.82999992370605,1725329192783.02,0.402978842160053,-29334899428.9271,29328725610.2532,13266.022106840494,22.1828994750977,78.22858224968003,2018,Canada
36545236.0,18419735.0,18125501.0,10.3,7.5,10.0,19.5300006866455,1.51999998092651,0.959999978542328,8.47999954223633,6.34000015258789,1649265644244.09,3.85229678449635,-20974072080.866,31171032151.0368,13266.022106840494,22.7698993682861,78.22858224968003,2017,Canada
36109487.0,18202997.0,17906490.0,10.6,7.4,10.0,19.6700000762939,1.58000004291534,0.990000009536743,8.51000022888184,7.0,1527994741907.43,-0.494461262499485,-18668313909.4663,28454713729.5458,13266.022106840494,22.3330001831055,78.22858224968003,2016,Canada
35702908.0,17999309.0,17703599.0,10.7,7.4,10.0,19.9200000762939,1.63999998569489,1.01999998092651,8.55000019073486,6.90999984741211,1556508816217.14,-3.10101867302329,-23844486211.652,29104161348.0672,13266.022106840494,22.6422004699707,74.089062024806,2015,Canada
35437435.0,17864828.0,17572607.0,10.8,7.3,10.0,20.1800003051758,1.71000003814697,1.05999994277954,8.60999965667725,6.90999984741211,1805749878439.94,1.3012655312467,-29178622922.1416,28649089979.3945,15588.4871464315,22.4167995452881,73.1928743182183,2014,Canada
35082954.0,17683847.0,17399107.0,10.8,7.2,10.0,20.3299999237061,1.77999997138977,1.08000004291534,8.72999954223633,7.07000017166138,1846597421834.98,1.63428502044427,-28124404589.2011,34978830269.318,15750.8116334788,22.3980007171631,73.1735157237361,2013,Canada
34714222.0,17494958.0,17219264.0,11.0,7.1,10.0,20.4599990844727,1.75,1.11000001430511,9.0,7.28999996185303,1828366481521.6,0.305529723620054,-32442609375.4632,33118038446.1077,15336.6248565213,22.1692008972168,74.4394791451663,2012,Canada
34339328.0,17303497.0,17035831.0,11.0,7.1,10.0,20.2900009155273,1.78999996185303,1.10000002384186,8.97999954223633,7.51000022888184,1793326630174.52,3.47128011447901,-33872856854.8681,31664131072.9025,15644.54027755,21.8441009521484,74.6917469799152,2011,Canada
34004889.0,17133868.0,16871021.0,11.1,7.0,10.0,20.1499996185303,1.80999994277954,1.11000001430511,8.53999996185303,8.0600004196167,1617343367486.26,4.38246933828911,-31965433370.1396,24150754718.8512,15269.745476893,21.8761005401611,75.3853926921305,2010,Canada
33628895.0,16945066.0,16683829.0,11.3,7.1,10.0,20.2900009155273,1.95000004768372,1.19000005722046,8.9399995803833,8.34000015258789,1374625142157.29,-7.40421733503531,-23668970343.8019,21305222640.189,15450.7306885938,22.5,75.0660005129962,2009,Canada
