Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
649586703.0,703055580.0,17.857,7.234,8.0,24.9500007629395,43.3300018310547,55.5299987792969,17.2800006866455,5.32999992370605,2701111782775.03,4.78303644210287,-28935365552.6301,431371805444.282,335.1825163277326,31.6891994476318,54.656074326897325,2018,India
642796257.0,695880522.0,18.083,7.21,8.0,24.8600006103516,43.9300003051758,56.3499984741211,17.5200004577637,5.35799980163574,2651472946374.91,7.50799731803265,-28673171869.0123,439039677566.795,335.1825163277326,32.212100982666,54.656074326897325,2017,India
635912563.0,688604687.0,18.332,7.195,8.0,24.7399997711182,44.560001373291,57.1500015258789,17.7399997711182,5.4229998588562,2294797980509.01,6.30156566758488,-46857856463.2037,375516164816.913,335.1825163277326,33.5629005432129,54.656074326897325,2016,India
628929060.0,681223332.0,18.625,7.194,8.0,24.5400009155273,45.2599983215332,57.9300003051758,17.9500007629395,5.43499994277954,2103587813812.75,7.8779183917038,-24405488068.3077,340244981475.06,335.1825163277326,34.3959007263184,54.656074326897325,2015,India
621852998.0,673747770.0,18.984,7.212,8.0,24.4500007629395,45.8899993896484,58.6699981689453,18.1700000762939,5.43599987030029,2039127446298.55,5.26716113691472,-24112069639.3408,342408945451.364,804.5163492833,36.0537986755371,73.5769790878008,2014,India
614676458.0,666165661.0,19.416,7.251,8.0,24.3700008392334,46.5,59.3600006103516,18.4300003051758,5.42399978637695,1856722121394.53,4.99515394956617,-23120564441.7779,318398573401.827,764.201134144621,38.1828994750977,72.2854586440549,2013,India
607359892.0,658420351.0,19.923,7.312,8.0,24.3600006103516,47.0,59.9599990844727,18.7700004577637,5.41400003433228,1827637859135.7,4.79535408149894,-21460196915.5895,307872488771.18,723.236916567989,39.3460998535156,72.419079459491,2012,India
599851346.0,650436593.0,20.495,7.393,8.0,23.1000003814697,49.2599983215332,63.560001373291,17.1200008392334,5.42600011825562,1823049927771.46,3.60793605345751,-16031217720.6473,313418261521.447,696.842681452116,40.5772018432617,71.4717185048681,2011,India
592116982.0,642164181.0,21.114,7.492,8.0,21.8099994659424,51.5200004577637,66.9800033569336,15.5299997329712,5.5460000038147,1675615335600.56,8.48756015501738,-17955015341.6648,285298796155.585,640.394606751363,41.1128005981445,71.4046951586205,2010,India
584142641.0,633583576.0,21.755,7.602,8.0,21.0900001525879,52.5,67.9300003051758,15.0299997329712,5.54400014877319,1341886602798.69,8.0530535061711,-8009493357.38992,224689117965.083,598.498241908181,42.1074981689453,71.1434979201925,2009,India
575948779.0,624720983.0,22.39,7.72,8.0,20.4200000762939,53.5099983215332,68.8199996948242,14.5900001525879,5.41400003433228,1198895582137.51,0.748247125104484,-7158169832.3245,201305866150.943,561.247581414481,43.405101776123,69.0051215885826,2008,India
567579951.0,615629520.0,22.996,7.839,8.0,20.0900001525879,54.1100006103516,69.5800018310547,14.3299999237061,5.57200002670288,1216735441524.86,6.75312061401721,-5094794675.70112,203804643612.754,541.73839519579,44.9034004211426,67.8834329697327,2007,India
559099816.0,606386475.0,23.564,7.958,8.0,19.4200000762939,55.0800018310547,70.3399963378906,13.9899997711182,5.60099983215332,940259888792.141,6.7176870717321,-7344611542.66898,158052441543.0,509.214054753734,46.0632019042969,66.8056737084907,2006,India
550557711.0,597052213.0,24.087,8.074,8.0,18.7999992370605,56.0,71.0500030517578,13.6499996185303,5.61299991607666,820381595512.902,7.1114555441917,-5898774890.67977,144552934947.689,468.025754019185,48.532398223877,65.9898036089149,2005,India
541973982.0,587649484.0,24.571,8.189,8.0,18.2600002288818,56.7799987792969,71.7600021362305,13.210000038147,5.62900018692017,709148514804.659,6.1236503975268,-4979769339.3098,126332614150.78,451.611546107878,50.0727996826172,65.5837437121253,2004,India
533346647.0,578176499.0,25.034,8.306,8.0,17.5,57.7599983215332,72.5199966430664,12.6999998092651,5.64300012588501,607699285433.872,6.01637460932601,-4506392470.48583,118991207540.395,430.483163325867,50.8297996520996,64.5192394352755,2003,India
524676537.0,568640650.0,25.489,8.427,8.0,16.9200000762939,58.5999984741211,73.1900024414063,12.2600002288818,5.53000020980835,514937948870.08,3.0822777228864,-3447912556.47532,100601880717.513,410.644783909356,50.8081016540527,64.329205786967,2002,India
