Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
126529100.0,64731350.0,61797750.0,7.4,11.0,9.0,24.4300003051758,3.49000000953674,3.01999998092651,14.1400003433228,2.40000009536743,5036891740656.35,-0.690660607239167,191848306908.174,52720814911.6866,5651.901469530437,7.38770008087158,88.65398466818674,2018,Japan
126785797.0,64853783.0,61932014.0,7.6,10.8,9.0,24.6299991607666,3.44000005722046,2.99000000953674,14.1499996185303,2.79999995231628,4930837369151.42,1.97523800838924,182413336169.474,55641568300.4069,5651.901469530437,6.97450017929077,88.65398466818674,2017,Japan
126994511.0,64951468.0,62043043.0,7.8,10.5,9.0,24.7000007629395,3.5,3.04999995231628,14.210000038147,3.09999990463257,5003677627544.24,0.990596514013873,174116141695.326,56290438046.6344,5651.901469530437,6.35979986190796,88.65398466818674,2016,Japan
127141000.0,65016722.0,62124278.0,8.0,10.3,9.0,24.9699993133545,3.63000011444092,3.22000002861023,14.4700002670288,3.40000009536743,4444930651964.18,3.80460207937551,174840516749.234,45965919991.1669,5651.901469530437,6.32340002059937,93.0264551074629,2015,Japan
127276000.0,65075452.0,62200548.0,8.0,10.1,9.0,25.0799999237061,3.69000005722046,3.29999995231628,14.3800001144409,3.59999990463257,4896994405353.29,0.62307161227902,182026899407.216,48803725389.1671,7819.71463590936,5.71990013122559,94.4074689015954,2014,Japan
127445000.0,65150796.0,62294204.0,8.2,10.1,9.0,25.2600002288818,3.75,3.39000010490417,14.3599996566772,4.0,5212328181166.18,2.87649634215401,179278466980.83,55600834051.0709,7988.58331044764,5.15740013122559,94.6333015307236,2013,Japan
127629000.0,65232461.0,62396539.0,8.2,10.0,9.0,25.2700004577637,3.86999988555908,3.53999996185303,14.3800001144409,4.3600001335144,6272362996105.03,1.88013697128144,173173594859.003,70429476440.8907,7998.34677071825,4.79570007324219,94.6215528538495,2012,Japan
127833000.0,65322325.0,62510675.0,8.3,9.9,9.0,25.3400001525879,3.97000002861023,3.71000003814697,14.5200004577637,4.55000019073486,6233147172341.35,-0.815071169121595,181249720017.308,67334928823.2981,8099.59869517261,4.94029998779297,89.7659420746634,2011,Japan
128070000.0,65426533.0,62643467.0,8.5,9.5,9.0,25.5599994659424,4.07000017166138,3.90000009536743,14.8100004196167,5.09999990463257,5759071769013.11,5.05031085853922,153405322119.677,63826702874.6623,8594.90903412197,4.79400014877319,80.9109544217641,2010,Japan
128047000.0,65395181.0,62651819.0,8.5,9.1,9.0,26.1499996185303,4.21000003814697,4.09999990463257,15.3100004196167,5.07000017166138,5289493117993.89,-5.51691814871425,132942040245.762,57249057124.0172,8020.27380571196,4.5128002166748,81.228056042313,2009,Japan
128063000.0,65381234.0,62681766.0,8.7,9.1,9.0,27.1900005340576,4.25,4.23000001907349,16.4699993133545,4.0,5106679115127.3,-4.6855547425312,137182358660.791,53829594763.9066,8270.00773057011,4.44579982757568,83.2154545824347,2008,Japan
128001000.0,65325526.0,62675474.0,8.63,8.71,9.0,27.5,4.30999994277954,4.32999992370605,16.8700008392334,3.89000010490417,4579750920354.81,1.13558714517413,140341476049.544,48241453544.9052,8710.0257029242,4.28760004043579,83.4827149233339,2007,Japan
127854000.0,65225372.0,62628628.0,8.65,8.53,9.0,27.7399997711182,4.3899998664856,4.44000005722046,17.2000007629395,4.19000005722046,4601663122649.92,0.453915446621409,122965486464.665,49812853559.7377,8542.47813912744,4.44750022888184,81.4531166986353,2006,Japan
127773000.0,65158465.0,62614535.0,8.41,8.53,9.0,27.9799995422363,4.46000003814697,4.55000019073486,17.5699996948242,4.44999980926514,4831467035389.8,1.29344793690464,107136570911.156,53708008296.2705,8539.01058909159,4.03809976577759,81.6118617644582,2005,Japan
127761000.0,65126621.0,62634379.0,8.69,8.05,9.0,28.4300003051758,4.55999994277954,4.67999982833862,18.1599998474121,4.73000001907349,4893116005656.56,2.43142437392432,94459900363.2398,60232177682.4748,8393.25772340542,4.27290010452271,82.7064733424108,2004,Japan
127718000.0,65078804.0,62639196.0,9.2,8.4,9.0,29.1499996185303,4.6399998664856,4.82000017166138,18.9400005340576,5.25,4519561645253.53,1.39215641243923,73021171619.9373,58710381382.4305,8164.9336820182,4.23080015182495,84.3113817390221,2003,Japan
